Node1	Node2	Sim	Node1Chrname	Node1Chr	Node2Chrname	Node2Chr
soff_lappurple_cm036159.1	soff_lappurple_cm036155.1	0.2002989805842729	H01	Chr01	D01	Chr01
soff_lappurple_cm036158.1	soff_lappurple_cm036155.1	0.19481236203090507	G01	Chr01	D01	Chr01
soff_lappurple_cm036154.1	soff_lappurple_cm036155.1	0.18748511077582783	C01	Chr01	D01	Chr01
soff_lappurple_cm036153.1	soff_lappurple_cm036155.1	0.1812959997649513	B01	Chr01	D01	Chr01
soff_lappurple_cm036157.1	soff_lappurple_cm036155.1	0.14564648117839607	F01	Chr01	D01	Chr01
sspo_npx_cm039580.1	soff_lappurple_cm036155.1	0.14466658872130636	1B	Chr01	D01	Chr01
sspo_ap85441_cm010686.1	soff_lappurple_cm036155.1	0.1420480482803977	1D	Chr01	D01	Chr01
sspo_npx_cm039581.1	soff_lappurple_cm036155.1	0.14107764310572424	1C	Chr01	D01	Chr01
sspo_ap85441_cm010684.1	soff_lappurple_cm036155.1	0.13696487520961326	1B	Chr01	D01	Chr01
sspo_npx_cm039579.1	soff_lappurple_cm036155.1	0.13639260161486774	1A	Chr01	D01	Chr01
sspo_ap85441_cm010683.1	soff_lappurple_cm036155.1	0.13562088962825913	1A	Chr01	D01	Chr01
sspo_ap85441_cm010685.1	soff_lappurple_cm036155.1	0.11926403034117473	1C	Chr01	D01	Chr01
sspo_npx_cm039582.1	soff_lappurple_cm036155.1	0.11657125864248011	1D	Chr01	D01	Chr01
soff_lappurple_cm036156.1	soff_lappurple_cm036156.1	1.0	E01	Chr01	E01	Chr01
soff_lappurple_cm036155.1	soff_lappurple_cm036156.1	0.2756150069350488	D01	Chr01	E01	Chr01
soff_lappurple_cm036158.1	soff_lappurple_cm036156.1	0.2021944373564685	G01	Chr01	E01	Chr01
soff_lappurple_cm036153.1	soff_lappurple_cm036156.1	0.2014392772357542	B01	Chr01	E01	Chr01
soff_lappurple_cm036152.1	soff_lappurple_cm036156.1	0.19604018052118213	A01	Chr01	E01	Chr01
soff_lappurple_cm036154.1	soff_lappurple_cm036156.1	0.1916181920625977	C01	Chr01	E01	Chr01
soff_lappurple_cm036159.1	soff_lappurple_cm036156.1	0.19111708089451868	H01	Chr01	E01	Chr01
soff_lappurple_cm036157.1	soff_lappurple_cm036156.1	0.17424780165178833	F01	Chr01	E01	Chr01
sspo_npx_cm039580.1	soff_lappurple_cm036156.1	0.13805929835934003	1B	Chr01	E01	Chr01
sspo_ap85441_cm010686.1	soff_lappurple_cm036156.1	0.13522766438172557	1D	Chr01	E01	Chr01
sspo_npx_cm039581.1	soff_lappurple_cm036156.1	0.13455887594351204	1C	Chr01	E01	Chr01
sspo_npx_cm039579.1	soff_lappurple_cm036156.1	0.13409688381636317	1A	Chr01	E01	Chr01
sspo_ap85441_cm010684.1	soff_lappurple_cm036156.1	0.13277122817489928	1B	Chr01	E01	Chr01
sspo_ap85441_cm010683.1	soff_lappurple_cm036156.1	0.13216182009014016	1A	Chr01	E01	Chr01
sspo_ap85441_cm010685.1	soff_lappurple_cm036156.1	0.11683988307892172	1C	Chr01	E01	Chr01
sspo_npx_cm039582.1	soff_lappurple_cm036156.1	0.11360971009144216	1D	Chr01	E01	Chr01
soff_lappurple_cm036157.1	soff_lappurple_cm036157.1	1.0	F01	Chr01	F01	Chr01
soff_lappurple_cm036152.1	soff_lappurple_cm036157.1	0.24175452988153545	A01	Chr01	F01	Chr01
soff_lappurple_cm036158.1	soff_lappurple_cm036157.1	0.19462092911224424	G01	Chr01	F01	Chr01
soff_lappurple_cm036154.1	soff_lappurple_cm036157.1	0.19370488900994143	C01	Chr01	F01	Chr01
soff_lappurple_cm036153.1	soff_lappurple_cm036157.1	0.18585705230042024	B01	Chr01	F01	Chr01
soff_lappurple_cm036156.1	soff_lappurple_cm036157.1	0.17424780165178833	E01	Chr01	F01	Chr01
soff_lappurple_cm036155.1	soff_lappurple_cm036157.1	0.14564648117839607	D01	Chr01	F01	Chr01
soff_lappurple_cm036159.1	soff_lappurple_cm036157.1	0.12228236273782155	H01	Chr01	F01	Chr01
sspo_ap85441_cm010683.1	soff_lappurple_cm036157.1	0.10442772251647074	1A	Chr01	F01	Chr01
sspo_npx_cm039579.1	soff_lappurple_cm036157.1	0.10255722760331132	1A	Chr01	F01	Chr01
sspo_npx_cm039582.1	soff_lappurple_cm036157.1	0.10250144516264649	1D	Chr01	F01	Chr01
sspo_ap85441_cm010684.1	soff_lappurple_cm036157.1	0.10189391292193724	1B	Chr01	F01	Chr01
sspo_ap85441_cm010685.1	soff_lappurple_cm036157.1	0.10088665022166256	1C	Chr01	F01	Chr01
sspo_npx_cm039580.1	soff_lappurple_cm036157.1	0.10055843573988735	1B	Chr01	F01	Chr01
sspo_ap85441_cm010686.1	soff_lappurple_cm036157.1	0.0995222233705114	1D	Chr01	F01	Chr01
sspo_npx_cm039581.1	soff_lappurple_cm036157.1	0.09931650850448104	1C	Chr01	F01	Chr01
soff_lappurple_cm036158.1	soff_lappurple_cm036158.1	1.0	G01	Chr01	G01	Chr01
soff_lappurple_cm036153.1	soff_lappurple_cm036158.1	0.20784248395567084	B01	Chr01	G01	Chr01
soff_lappurple_cm036156.1	soff_lappurple_cm036158.1	0.2021944373564685	E01	Chr01	G01	Chr01
soff_lappurple_cm036155.1	soff_lappurple_cm036158.1	0.19481236203090507	D01	Chr01	G01	Chr01
soff_lappurple_cm036157.1	soff_lappurple_cm036158.1	0.19462092911224424	F01	Chr01	G01	Chr01
soff_lappurple_cm036152.1	soff_lappurple_cm036158.1	0.19156911543306604	A01	Chr01	G01	Chr01
soff_lappurple_cm036154.1	soff_lappurple_cm036158.1	0.17580382834980607	C01	Chr01	G01	Chr01
soff_lappurple_cm036159.1	soff_lappurple_cm036158.1	0.16503194709113328	H01	Chr01	G01	Chr01
sspo_ap85441_cm010686.1	soff_lappurple_cm036158.1	0.12242476104365797	1D	Chr01	G01	Chr01
sspo_npx_cm039580.1	soff_lappurple_cm036158.1	0.12164814664611891	1B	Chr01	G01	Chr01
sspo_npx_cm039579.1	soff_lappurple_cm036158.1	0.12075318273066857	1A	Chr01	G01	Chr01
sspo_ap85441_cm010684.1	soff_lappurple_cm036158.1	0.11977326612966539	1B	Chr01	G01	Chr01
sspo_ap85441_cm010683.1	soff_lappurple_cm036158.1	0.11938949938949939	1A	Chr01	G01	Chr01
sspo_npx_cm039581.1	soff_lappurple_cm036158.1	0.11825499436960421	1C	Chr01	G01	Chr01
sspo_ap85441_cm010685.1	soff_lappurple_cm036158.1	0.10853382614552928	1C	Chr01	G01	Chr01
sspo_npx_cm039582.1	soff_lappurple_cm036158.1	0.10740432976164443	1D	Chr01	G01	Chr01
soff_lappurple_cm036159.1	soff_lappurple_cm036159.1	1.0	H01	Chr01	H01	Chr01
soff_lappurple_cm036152.1	soff_lappurple_cm036159.1	0.2017005695687551	A01	Chr01	H01	Chr01
soff_lappurple_cm036155.1	soff_lappurple_cm036159.1	0.2002989805842729	D01	Chr01	H01	Chr01
soff_lappurple_cm036153.1	soff_lappurple_cm036159.1	0.1970804126438302	B01	Chr01	H01	Chr01
soff_lappurple_cm036156.1	soff_lappurple_cm036159.1	0.19111708089451868	E01	Chr01	H01	Chr01
soff_lappurple_cm036154.1	soff_lappurple_cm036159.1	0.1840324883178606	C01	Chr01	H01	Chr01
soff_lappurple_cm036158.1	soff_lappurple_cm036159.1	0.16503194709113328	G01	Chr01	H01	Chr01
soff_lappurple_cm036157.1	soff_lappurple_cm036159.1	0.12228236273782155	F01	Chr01	H01	Chr01
sspo_npx_cm039580.1	soff_lappurple_cm036159.1	0.12126171828137586	1B	Chr01	H01	Chr01
sspo_npx_cm039581.1	soff_lappurple_cm036159.1	0.11732420341136711	1C	Chr01	H01	Chr01
sspo_ap85441_cm010684.1	soff_lappurple_cm036159.1	0.11658889118315094	1B	Chr01	H01	Chr01
sspo_npx_cm039579.1	soff_lappurple_cm036159.1	0.11629985875958736	1A	Chr01	H01	Chr01
sspo_ap85441_cm010686.1	soff_lappurple_cm036159.1	0.11550198352151358	1D	Chr01	H01	Chr01
sspo_ap85441_cm010683.1	soff_lappurple_cm036159.1	0.11493198707454422	1A	Chr01	H01	Chr01
sspo_ap85441_cm010685.1	soff_lappurple_cm036159.1	0.10644780544042162	1C	Chr01	H01	Chr01
sspo_npx_cm039582.1	soff_lappurple_cm036159.1	0.0993588265141381	1D	Chr01	H01	Chr01
soff_lappurple_cm036160.1	soff_lappurple_cm036160.1	1.0	A02	Chr02	A02	Chr02
soff_lappurple_cm036162.1	soff_lappurple_cm036160.1	0.23221221526823724	C02	Chr02	A02	Chr02
soff_lappurple_cm036161.1	soff_lappurple_cm036160.1	0.23048301757979178	B02	Chr02	A02	Chr02
soff_lappurple_cm036163.1	soff_lappurple_cm036160.1	0.2273831130652624	D02	Chr02	A02	Chr02
soff_lappurple_cm036164.1	soff_lappurple_cm036160.1	0.20441056078591896	E02	Chr02	A02	Chr02
soff_lappurple_cm036165.1	soff_lappurple_cm036160.1	0.19542047780970204	F02	Chr02	A02	Chr02
soff_lappurple_cm036166.1	soff_lappurple_cm036160.1	0.1610515517830923	G02	Chr02	A02	Chr02
sspo_npx_cm039585.1	soff_lappurple_cm036160.1	0.13950698268570147	2C	Chr02	A02	Chr02
sspo_npx_cm039583.1	soff_lappurple_cm036160.1	0.13268244050432734	2A	Chr02	A02	Chr02
sspo_npx_cm039586.1	soff_lappurple_cm036160.1	0.13194336258676498	2D	Chr02	A02	Chr02
sspo_npx_cm039584.1	soff_lappurple_cm036160.1	0.13130417826310473	2B	Chr02	A02	Chr02
soff_lappurple_cm036167.1	soff_lappurple_cm036160.1	0.12652739456050452	H02	Chr02	A02	Chr02
sspo_ap85441_cm010688.1	soff_lappurple_cm036160.1	0.12465810508769935	2B	Chr02	A02	Chr02
sspo_ap85441_cm010689.1	soff_lappurple_cm036160.1	0.12440108651012659	2C	Chr02	A02	Chr02
sspo_ap85441_cm010687.1	soff_lappurple_cm036160.1	0.12213813232425456	2A	Chr02	A02	Chr02
sspo_ap85441_cm010690.1	soff_lappurple_cm036160.1	0.11521555303313094	2D	Chr02	A02	Chr02
soff_lappurple_cm036161.1	soff_lappurple_cm036161.1	1.0	B02	Chr02	B02	Chr02
soff_lappurple_cm036162.1	soff_lappurple_cm036161.1	0.27029417282318363	C02	Chr02	B02	Chr02
soff_lappurple_cm036160.1	soff_lappurple_cm036161.1	0.23048301757979178	A02	Chr02	B02	Chr02
soff_lappurple_cm036163.1	soff_lappurple_cm036161.1	0.22877070619006104	D02	Chr02	B02	Chr02
soff_lappurple_cm036164.1	soff_lappurple_cm036161.1	0.20327186250511772	E02	Chr02	B02	Chr02
soff_lappurple_cm036165.1	soff_lappurple_cm036161.1	0.178321368430382	F02	Chr02	B02	Chr02
soff_lappurple_cm036166.1	soff_lappurple_cm036161.1	0.16707353811952672	G02	Chr02	B02	Chr02
sspo_npx_cm039583.1	soff_lappurple_cm036161.1	0.10842283873523914	2A	Chr02	B02	Chr02
sspo_npx_cm039586.1	soff_lappurple_cm036161.1	0.10487604378488297	2D	Chr02	B02	Chr02
sspo_npx_cm039585.1	soff_lappurple_cm036161.1	0.10451507882111034	2C	Chr02	B02	Chr02
sspo_ap85441_cm010688.1	soff_lappurple_cm036161.1	0.10289352466667173	2B	Chr02	B02	Chr02
sspo_ap85441_cm010687.1	soff_lappurple_cm036161.1	0.10145768739071018	2A	Chr02	B02	Chr02
sspo_ap85441_cm010689.1	soff_lappurple_cm036161.1	0.10109924917034403	2C	Chr02	B02	Chr02
sspo_npx_cm039584.1	soff_lappurple_cm036161.1	0.100629264326369	2B	Chr02	B02	Chr02
sspo_ap85441_cm010690.1	soff_lappurple_cm036161.1	0.09416831479035104	2D	Chr02	B02	Chr02
soff_lappurple_cm036167.1	soff_lappurple_cm036161.1	0.09155946442635862	H02	Chr02	B02	Chr02
soff_lappurple_cm036162.1	soff_lappurple_cm036162.1	1.0	C02	Chr02	C02	Chr02
soff_lappurple_cm036161.1	soff_lappurple_cm036162.1	0.27029417282318363	B02	Chr02	C02	Chr02
soff_lappurple_cm036160.1	soff_lappurple_cm036162.1	0.23221221526823724	A02	Chr02	C02	Chr02
soff_lappurple_cm036163.1	soff_lappurple_cm036162.1	0.2294935821425171	D02	Chr02	C02	Chr02
soff_lappurple_cm036164.1	soff_lappurple_cm036162.1	0.2152132933044753	E02	Chr02	C02	Chr02
soff_lappurple_cm036165.1	soff_lappurple_cm036162.1	0.1934550569299659	F02	Chr02	C02	Chr02
soff_lappurple_cm036166.1	soff_lappurple_cm036162.1	0.1707201304262586	G02	Chr02	C02	Chr02
soff_lappurple_cm036167.1	soff_lappurple_cm036162.1	0.11907455469044609	H02	Chr02	C02	Chr02
sspo_npx_cm039585.1	soff_lappurple_cm036162.1	0.11891198843492927	2C	Chr02	C02	Chr02
sspo_npx_cm039583.1	soff_lappurple_cm036162.1	0.11538758990487484	2A	Chr02	C02	Chr02
sspo_npx_cm039584.1	soff_lappurple_cm036162.1	0.11210833775889538	2B	Chr02	C02	Chr02
sspo_ap85441_cm010688.1	soff_lappurple_cm036162.1	0.11128985749191847	2B	Chr02	C02	Chr02
sspo_npx_cm039586.1	soff_lappurple_cm036162.1	0.11071154459765951	2D	Chr02	C02	Chr02
sspo_ap85441_cm010689.1	soff_lappurple_cm036162.1	0.10884882507466984	2C	Chr02	C02	Chr02
sspo_ap85441_cm010687.1	soff_lappurple_cm036162.1	0.10803216387140321	2A	Chr02	C02	Chr02
sspo_ap85441_cm010690.1	soff_lappurple_cm036162.1	0.10297128017109686	2D	Chr02	C02	Chr02
soff_lappurple_cm036163.1	soff_lappurple_cm036163.1	1.0	D02	Chr02	D02	Chr02
soff_lappurple_cm036162.1	soff_lappurple_cm036163.1	0.2294935821425171	C02	Chr02	D02	Chr02
soff_lappurple_cm036161.1	soff_lappurple_cm036163.1	0.22877070619006104	B02	Chr02	D02	Chr02
soff_lappurple_cm036160.1	soff_lappurple_cm036163.1	0.2273831130652624	A02	Chr02	D02	Chr02
soff_lappurple_cm036165.1	soff_lappurple_cm036163.1	0.20190053848590434	F02	Chr02	D02	Chr02
soff_lappurple_cm036164.1	soff_lappurple_cm036163.1	0.19683932970197413	E02	Chr02	D02	Chr02
soff_lappurple_cm036166.1	soff_lappurple_cm036163.1	0.19064042022603067	G02	Chr02	D02	Chr02
soff_lappurple_cm036167.1	soff_lappurple_cm036163.1	0.1391594640325605	H02	Chr02	D02	Chr02
sspo_npx_cm039585.1	soff_lappurple_cm036163.1	0.12693842545594566	2C	Chr02	D02	Chr02
sspo_npx_cm039583.1	soff_lappurple_cm036163.1	0.12191141173903557	2A	Chr02	D02	Chr02
sspo_npx_cm039584.1	soff_lappurple_cm036163.1	0.1190298406758009	2B	Chr02	D02	Chr02
sspo_npx_cm039586.1	soff_lappurple_cm036163.1	0.11899873657612128	2D	Chr02	D02	Chr02
sspo_ap85441_cm010688.1	soff_lappurple_cm036163.1	0.11591908260829464	2B	Chr02	D02	Chr02
sspo_ap85441_cm010689.1	soff_lappurple_cm036163.1	0.11414010324010615	2C	Chr02	D02	Chr02
sspo_ap85441_cm010687.1	soff_lappurple_cm036163.1	0.11372289479163568	2A	Chr02	D02	Chr02
sspo_ap85441_cm010690.1	soff_lappurple_cm036163.1	0.10864732989970181	2D	Chr02	D02	Chr02
soff_lappurple_cm036164.1	soff_lappurple_cm036164.1	1.0	E02	Chr02	E02	Chr02
soff_lappurple_cm036165.1	soff_lappurple_cm036164.1	0.22563735103333837	F02	Chr02	E02	Chr02
soff_lappurple_cm036162.1	soff_lappurple_cm036164.1	0.2152132933044753	C02	Chr02	E02	Chr02
soff_lappurple_cm036160.1	soff_lappurple_cm036164.1	0.20441056078591896	A02	Chr02	E02	Chr02
soff_lappurple_cm036161.1	soff_lappurple_cm036164.1	0.20327186250511772	B02	Chr02	E02	Chr02
soff_lappurple_cm036163.1	soff_lappurple_cm036164.1	0.19683932970197413	D02	Chr02	E02	Chr02
soff_lappurple_cm036166.1	soff_lappurple_cm036164.1	0.1543989615981258	G02	Chr02	E02	Chr02
soff_lappurple_cm036167.1	soff_lappurple_cm036164.1	0.1472849847750619	H02	Chr02	E02	Chr02
sspo_npx_cm039585.1	soff_lappurple_cm036164.1	0.11806893123740714	2C	Chr02	E02	Chr02
sspo_npx_cm039584.1	soff_lappurple_cm036164.1	0.11749404854913278	2B	Chr02	E02	Chr02
sspo_npx_cm039586.1	soff_lappurple_cm036164.1	0.11296410311320502	2D	Chr02	E02	Chr02
sspo_npx_cm039583.1	soff_lappurple_cm036164.1	0.11262034546226816	2A	Chr02	E02	Chr02
sspo_ap85441_cm010688.1	soff_lappurple_cm036164.1	0.11245497659955152	2B	Chr02	E02	Chr02
sspo_ap85441_cm010687.1	soff_lappurple_cm036164.1	0.10781860121515476	2A	Chr02	E02	Chr02
sspo_ap85441_cm010689.1	soff_lappurple_cm036164.1	0.10731923375041523	2C	Chr02	E02	Chr02
sspo_ap85441_cm010690.1	soff_lappurple_cm036164.1	0.101366358235428	2D	Chr02	E02	Chr02
soff_lappurple_cm036165.1	soff_lappurple_cm036165.1	1.0	F02	Chr02	F02	Chr02
soff_lappurple_cm036164.1	soff_lappurple_cm036165.1	0.22563735103333837	E02	Chr02	F02	Chr02
soff_lappurple_cm036163.1	soff_lappurple_cm036165.1	0.20190053848590434	D02	Chr02	F02	Chr02
soff_lappurple_cm036160.1	soff_lappurple_cm036165.1	0.19542047780970204	A02	Chr02	F02	Chr02
soff_lappurple_cm036162.1	soff_lappurple_cm036165.1	0.1934550569299659	C02	Chr02	F02	Chr02
soff_lappurple_cm036167.1	soff_lappurple_cm036165.1	0.18351218378336498	H02	Chr02	F02	Chr02
soff_lappurple_cm036161.1	soff_lappurple_cm036165.1	0.178321368430382	B02	Chr02	F02	Chr02
soff_lappurple_cm036166.1	soff_lappurple_cm036165.1	0.16542530586682772	G02	Chr02	F02	Chr02
sspo_npx_cm039585.1	soff_lappurple_cm036165.1	0.11565461565461566	2C	Chr02	F02	Chr02
sspo_npx_cm039583.1	soff_lappurple_cm036165.1	0.11211254612546126	2A	Chr02	F02	Chr02
sspo_npx_cm039584.1	soff_lappurple_cm036165.1	0.11182432109732451	2B	Chr02	F02	Chr02
sspo_npx_cm039586.1	soff_lappurple_cm036165.1	0.1113807080172542	2D	Chr02	F02	Chr02
sspo_ap85441_cm010689.1	soff_lappurple_cm036165.1	0.10764300519323579	2C	Chr02	F02	Chr02
sspo_ap85441_cm010688.1	soff_lappurple_cm036165.1	0.10671044034491937	2B	Chr02	F02	Chr02
sspo_ap85441_cm010687.1	soff_lappurple_cm036165.1	0.10361335118473083	2A	Chr02	F02	Chr02
sspo_ap85441_cm010690.1	soff_lappurple_cm036165.1	0.09986897893083552	2D	Chr02	F02	Chr02
soff_lappurple_cm036166.1	soff_lappurple_cm036166.1	1.0	G02	Chr02	G02	Chr02
soff_lappurple_cm036163.1	soff_lappurple_cm036166.1	0.19064042022603067	D02	Chr02	G02	Chr02
soff_lappurple_cm036162.1	soff_lappurple_cm036166.1	0.1707201304262586	C02	Chr02	G02	Chr02
soff_lappurple_cm036161.1	soff_lappurple_cm036166.1	0.16707353811952672	B02	Chr02	G02	Chr02
soff_lappurple_cm036165.1	soff_lappurple_cm036166.1	0.16542530586682772	F02	Chr02	G02	Chr02
soff_lappurple_cm036160.1	soff_lappurple_cm036166.1	0.1610515517830923	A02	Chr02	G02	Chr02
soff_lappurple_cm036164.1	soff_lappurple_cm036166.1	0.1543989615981258	E02	Chr02	G02	Chr02
soff_lappurple_cm036167.1	soff_lappurple_cm036166.1	0.12014000567590578	H02	Chr02	G02	Chr02
sspo_npx_cm039585.1	soff_lappurple_cm036166.1	0.1030014093191227	2C	Chr02	G02	Chr02
sspo_npx_cm039584.1	soff_lappurple_cm036166.1	0.10233484079584815	2B	Chr02	G02	Chr02
sspo_npx_cm039583.1	soff_lappurple_cm036166.1	0.09956105127669171	2A	Chr02	G02	Chr02
sspo_npx_cm039586.1	soff_lappurple_cm036166.1	0.09891269338842057	2D	Chr02	G02	Chr02
sspo_ap85441_cm010690.1	soff_lappurple_cm036166.1	0.09474841114349883	2D	Chr02	G02	Chr02
sspo_ap85441_cm010688.1	soff_lappurple_cm036166.1	0.09075260769914402	2B	Chr02	G02	Chr02
sspo_ap85441_cm010687.1	soff_lappurple_cm036166.1	0.09036019904078896	2A	Chr02	G02	Chr02
sspo_ap85441_cm010689.1	soff_lappurple_cm036166.1	0.08939346102574897	2C	Chr02	G02	Chr02
soff_lappurple_cm036167.1	soff_lappurple_cm036167.1	1.0	H02	Chr02	H02	Chr02
soff_lappurple_cm036165.1	soff_lappurple_cm036167.1	0.18351218378336498	F02	Chr02	H02	Chr02
soff_lappurple_cm036164.1	soff_lappurple_cm036167.1	0.1472849847750619	E02	Chr02	H02	Chr02
soff_lappurple_cm036163.1	soff_lappurple_cm036167.1	0.1391594640325605	D02	Chr02	H02	Chr02
soff_lappurple_cm036160.1	soff_lappurple_cm036167.1	0.12652739456050452	A02	Chr02	H02	Chr02
soff_lappurple_cm036166.1	soff_lappurple_cm036167.1	0.12014000567590578	G02	Chr02	H02	Chr02
soff_lappurple_cm036162.1	soff_lappurple_cm036167.1	0.11907455469044609	C02	Chr02	H02	Chr02
soff_lappurple_cm036161.1	soff_lappurple_cm036167.1	0.09155946442635862	B02	Chr02	H02	Chr02
sspo_npx_cm039585.1	soff_lappurple_cm036167.1	0.08694950998635405	2C	Chr02	H02	Chr02
sspo_npx_cm039584.1	soff_lappurple_cm036167.1	0.08425605085584764	2B	Chr02	H02	Chr02
sspo_npx_cm039586.1	soff_lappurple_cm036167.1	0.08117748657680321	2D	Chr02	H02	Chr02
sspo_npx_cm039583.1	soff_lappurple_cm036167.1	0.08002323454531972	2A	Chr02	H02	Chr02
soff_lappurple_cm036168.1	soff_lappurple_cm036168.1	1.0	A03	Chr03	A03	Chr03
soff_lappurple_cm036170.1	soff_lappurple_cm036168.1	0.2438122082269004	C03	Chr03	A03	Chr03
